alien_id,name,species,region,arrival_date,age_centuries,antenna_count,crystal_energy_index,bioluminescence_level,glow_duration_minutes,telepathy_score,hover_height_cm,occupation
A0020,Torsolos,Luminar,Crystal Forest,2025-09-10,6.1,8,90.5,High,174.0,55.2,86.1,Crystal Miner
A0021,Lyris,Nebulon,Ice Plains,2024-12-01,6.4,8,43.6,High,107.5,82.4,67.6,Explorer
A0022,Noxora,Luminar,Crystal Forest,2024-04-26,8.2,10,80.2,High,141.6,64.7,96.5,Research Scientist
A0023,Vyrvoion,Luminar,Northern Crater,2024-05-03,4.9,8,67.1,High,135.5,65.9,112.7,Farmer
A0024,Praxzueon,Crystalian,Northern Crater,2025-02-02,3.7,3,69.4,Medium,131.7,53.3,52.2,Farmer
A0025,Myraris,Crystalian,Northern Crater,2025-12-15,7.4,6,59.5,High,116.7,62.6,45.2,Farmer
A0026,Orbalon,Gravitar,Lava Basin,2024-02-20,7.3,2,57.5,High,125.0,51.2,10.4,Planetary Guardian
A0027,Talith,Luminar,Floating Islands,2024-11-19,6.1,7,79.0,Low,96.6,58.5,124.9,Farmer
A0028,Lumnorara,Nebulon,Floating Islands,2024-05-20,4.7,8,56.2,High,105.9,86.5,85.4,Merchant
A0029,Nyxion,Nebulon,Crystal Forest,2025-04-14,5.0,9,80.1,High,155.9,82.8,86.4,Research Scientist
A0030,Praxetha,Luminar,Ice Plains,2024-11-29,2.4,7,55.2,High,124.9,40.6,103.6,Merchant
A0031,Zorthalon,Nebulon,Northern Crater,2025-01-07,7.2,13,50.0,Low,99.9,100.0,109.8,Crystal Miner
A0032,Torarae,Luminar,Northern Crater,2025-07-17,7.2,7,83.3,High,154.8,50.4,134.2,Explorer
A0033,Noxvoon,Luminar,Northern Crater,2025-05-08,2.4,5,48.4,High,112.0,68.2,82.4,Research Scientist
A0034,Korvsolaris,Aquari,Ice Plains,2025-06-22,6.7,1,57.1,Medium,81.2,43.1,115.0,Crystal Miner
A0035,Sylor,Aquari,Ice Plains,2025-10-30,5.8,5,60.8,High,139.3,63.1,157.7,Crystal Miner
A0036,Xylsolora,Gravitar,Northern Crater,2024-06-04,3.0,5,66.5,Low,99.1,40.9,29.4,Explorer
A0037,Jaxquaora,Crystalian,Northern Crater,2024-10-17,2.6,4,84.0,Low,139.9,29.9,53.7,Research Scientist
A0038,Velshaari,Luminar,Crystal Forest,2025-10-09,5.7,6,63.3,High,150.3,35.4,67.2,Merchant
A0039,Nebzenyx,Nebulon,Ice Plains,2024-05-23,4.2,11,55.0,Medium,102.3,93.9,72.3,Crystal Miner
A0040,Kelarae,Crystalian,Crystal Forest,2024-04-15,8.6,4,90.2,Medium,139.2,69.7,69.0,Research Scientist
A0041,Graxsolon,Luminar,Northern Crater,2025-02-23,6.9,6,62.7,Low,90.9,49.5,119.3,Explorer
A0042,Korix,Crystalian,Lava Basin,2025-10-31,5.9,4,71.2,High,143.0,32.2,20.9,Merchant
A0043,Vyrzenorix,Luminar,Crystal Forest,2025-10-19,6.0,9,65.9,Low,106.6,60.7,84.1,Research Scientist
A0044,Nebvoora,Aquari,Ice Plains,2024-01-02,7.7,1,55.9,Low,90.7,39.0,103.0,Explorer
A0045,Celshauron,Luminar,Floating Islands,2025-08-11,6.7,5,69.8,Low,93.3,46.9,117.2,Farmer
A0046,Korvtriyth,Nebulon,Lava Basin,2025-10-05,6.0,9,56.8,Medium,77.6,90.1,31.3,Explorer
A0047,Thalvoorix,Crystalian,Crystal Forest,2024-03-30,3.0,5,91.5,High,193.1,45.5,38.7,Research Scientist
A0048,Eldalis,Nebulon,Northern Crater,2024-12-10,11.1,11,57.1,Medium,108.7,91.9,102.7,Crystal Miner
A0049,Fynorax,Nebulon,Ice Plains,2024-12-15,2.8,14,53.8,High,115.5,98.5,75.3,Farmer
A0050,Orbryneen,Luminar,Lava Basin,2025-04-03,4.4,10,62.4,Low,95.5,70.5,100.5,Crystal Miner
A0051,Thalvekora,Aquari,Ice Plains,2024-09-19,1.7,3,60.3,Medium,105.5,39.0,136.1,Farmer
A0052,Korvis,Gravitar,Northern Crater,2024-12-16,6.1,4,39.6,Low,75.2,45.6,21.8,Explorer
A0053,Myrvoaris,Aquari,Ice Plains,2024-04-17,5.3,5,47.7,Medium,57.8,60.8,108.6,Farmer
A0054,Graxquaax,Gravitar,Lava Basin,2025-08-08,6.5,2,25.1,Low,29.2,43.3,0.0,Merchant
A0055,Velzenarax,Nebulon,Northern Crater,2024-02-08,1.5,12,74.6,Medium,148.4,84.4,54.2,Farmer
A0056,Aquadraeon,Aquari,Ice Plains,2024-06-07,7.2,5,68.1,Medium,123.8,73.7,120.5,Planetary Guardian
A0057,Rynlyorix,Luminar,Crystal Forest,2025-08-05,3.4,4,78.9,High,182.0,49.6,46.4,Merchant
A0058,Quixiona,Luminar,Crystal Forest,2024-11-07,4.7,5,75.5,High,132.4,44.9,98.9,Planetary Guardian
A0059,Praxon,Luminar,Lava Basin,2024-08-28,6.9,4,49.3,Medium,105.1,46.4,81.1,Planetary Guardian
A0060,Myreth,Crystalian,Lava Basin,2025-03-20,5.5,7,75.9,Medium,141.4,51.4,37.1,Explorer
A0061,Xylion,Crystalian,Ice Plains,2024-10-24,5.7,9,89.0,Low,99.4,69.7,55.9,Farmer
A0062,Aquakaith,Luminar,Crystal Forest,2024-02-05,6.6,6,73.9,High,144.0,50.0,93.0,Farmer
A0063,Lyrphiexus,Gravitar,Floating Islands,2024-03-24,5.9,4,61.4,Medium,104.4,39.6,84.5,Merchant
A0064,Drakraora,Crystalian,Crystal Forest,2025-03-27,4.3,5,90.3,Low,102.1,59.2,49.3,Planetary Guardian
A0065,Lyrlor,Luminar,Crystal Forest,2025-01-19,4.7,8,77.9,High,149.9,60.3,78.6,Planetary Guardian
A0066,Nebraalis,Nebulon,Ice Plains,2024-06-20,5.4,13,70.0,Medium,131.1,100.0,66.4,Merchant
A0067,Vordraetha,Luminar,Crystal Forest,2025-01-10,3.2,6,79.9,Low,106.0,57.4,56.1,Research Scientist
A0068,Celzorarax,Gravitar,Lava Basin,2025-11-15,7.0,5,43.0,Medium,83.8,37.2,0.0,Crystal Miner
A0069,Astrdrauron,Luminar,Northern Crater,2024-12-27,5.6,7,67.5,Medium,118.2,56.2,94.3,Planetary Guardian
A0070,Varuun,Aquari,Floating Islands,2025-07-12,5.1,3,48.7,High,113.0,59.1,168.2,Research Scientist
A0071,Korvoalis,Gravitar,Lava Basin,2024-05-20,7.4,6,42.9,Medium,69.5,40.6,0.0,Research Scientist
A0072,Zephorix,Luminar,Lava Basin,2024-04-27,4.8,9,49.4,High,124.0,65.8,61.3,Research Scientist
A0073,Sylnoryxis,Luminar,Crystal Forest,2024-10-03,4.6,8,65.8,High,113.3,57.8,61.7,Crystal Miner
A0074,Zephsolnax,Gravitar,Lava Basin,2025-12-26,4.0,2,34.8,Low,48.8,16.5,1.1,Crystal Miner
A0075,Quixex,Nebulon,Northern Crater,2024-08-07,5.7,7,54.7,High,142.4,78.6,109.3,Farmer
A0076,Fynora,Nebulon,Northern Crater,2024-01-26,5.6,12,70.3,Low,91.7,83.8,84.1,Planetary Guardian
A0077,Kryius,Gravitar,Floating Islands,2025-06-04,3.7,2,39.4,Medium,64.3,21.7,74.1,Planetary Guardian
A0078,Zorix,Luminar,Northern Crater,2024-01-10,4.6,7,57.1,High,135.8,55.3,86.5,Explorer
A0079,Tordraex,Crystalian,Crystal Forest,2025-01-12,3.7,8,92.4,Low,131.8,37.1,16.4,Research Scientist
A0080,Sylyxar,Luminar,Crystal Forest,2025-09-24,3.6,5,66.7,High,149.6,40.5,71.7,Farmer
A0081,Cryari,Gravitar,Lava Basin,2025-09-28,1.5,3,33.4,Medium,67.3,57.5,8.5,Merchant
A0082,Zephax,Nebulon,Northern Crater,2025-11-12,4.5,12,43.4,High,69.9,96.5,50.1,Crystal Miner
A0083,Talora,Crystalian,Crystal Forest,2025-08-06,1.6,2,99.2,Low,156.6,25.4,24.9,Planetary Guardian
A0084,Aquarynara,Luminar,Crystal Forest,2024-05-31,4.1,4,77.0,Low,138.9,59.2,81.2,Farmer
A0085,Jaxaris,Crystalian,Lava Basin,2025-12-20,3.8,5,64.8,Medium,130.0,37.7,10.2,Farmer
A0086,Sylkaex,Crystalian,Crystal Forest,2024-02-18,7.1,4,99.2,High,130.8,45.7,8.1,Planetary Guardian
A0087,Vyrvoarae,Nebulon,Crystal Forest,2024-06-02,3.0,12,67.8,Low,101.7,75.5,74.3,Explorer
A0088,Zorxeleth,Nebulon,Crystal Forest,2024-10-19,3.5,17,71.9,Medium,113.7,100.0,70.7,Crystal Miner
A0089,Nyxkaorix,Gravitar,Floating Islands,2025-08-02,4.2,4,39.4,Low,38.9,54.1,71.7,Farmer
A0090,Lyrvoorax,Crystalian,Crystal Forest,2024-02-19,3.8,3,79.4,Medium,133.0,31.6,23.3,Research Scientist
A0091,Noxlyius,Luminar,Crystal Forest,2025-10-25,7.7,9,70.8,Medium,116.9,46.8,101.4,Farmer
A0092,Lumius,Nebulon,Ice Plains,2025-06-14,2.7,8,50.1,High,122.8,85.3,92.9,Explorer
A0093,Korlyuron,Gravitar,Lava Basin,2025-09-03,4.2,1,36.2,Low,51.5,46.9,13.9,Explorer
A0094,Ophari,Nebulon,Floating Islands,2024-02-29,5.7,10,62.9,Medium,91.2,66.4,100.9,Explorer
A0095,Graxthalor,Gravitar,Northern Crater,2024-06-15,6.8,3,41.1,Low,48.9,47.2,32.2,Research Scientist
A0096,Xanraalis,Crystalian,Crystal Forest,2024-07-20,4.2,4,93.2,High,164.4,47.7,30.1,Crystal Miner
A0097,Sylrynorix,Nebulon,Northern Crater,2024-05-25,1.2,11,64.9,High,110.1,72.5,67.6,Research Scientist
A0098,Koraris,Crystalian,Crystal Forest,2025-11-06,4.7,6,85.3,Low,98.8,38.5,50.2,Crystal Miner
A0099,Lyrax,Luminar,Crystal Forest,2025-03-14,7.7,8,72.0,High,142.6,74.3,87.9,Merchant
A0100,Kryrynalis,Luminar,Crystal Forest,2024-08-29,5.6,6,80.9,High,179.6,56.0,108.1,Planetary Guardian
A0101,Velquayxis,Luminar,Crystal Forest,2025-08-03,5.5,5,78.0,Medium,121.2,53.5,83.4,Crystal Miner
A0102,Talrynetha,Nebulon,Floating Islands,2025-11-17,2.9,13,62.2,Medium,95.7,83.6,104.9,Farmer
A0103,Zephorax,Crystalian,Crystal Forest,2025-07-14,2.7,3,100.0,Low,122.3,31.4,31.5,Farmer
A0104,Graxxelis,Nebulon,Crystal Forest,2025-04-27,5.0,8,75.7,Medium,126.4,54.5,53.2,Farmer
A0105,Cryiona,Aquari,Floating Islands,2024-04-17,2.1,7,58.6,High,144.7,52.9,172.2,Farmer
A0106,Quixion,Luminar,Floating Islands,2024-08-13,6.6,8,56.1,Medium,128.6,76.6,162.8,Crystal Miner
A0107,Astrquaorix,Crystalian,Crystal Forest,2025-11-03,3.3,3,81.5,Medium,138.4,31.7,34.3,Planetary Guardian
A0108,Rynyxar,Gravitar,Lava Basin,2025-09-22,5.0,3,25.4,Medium,57.7,23.8,0.0,Merchant
A0109,Celxeluron,Luminar,Floating Islands,2025-10-22,1.2,4,74.3,High,140.9,43.8,118.8,Explorer
A0110,Solax,Luminar,Floating Islands,2025-10-23,4.2,7,42.7,High,99.1,60.6,119.8,Crystal Miner
A0111,Graxraalon,Luminar,Crystal Forest,2025-03-07,2.6,9,84.9,High,173.3,51.3,114.7,Merchant
A0112,Cryuron,Luminar,Lava Basin,2025-10-16,1.0,7,46.3,High,105.1,44.5,69.2,Research Scientist
A0113,Rynzenius,Aquari,Ice Plains,2025-02-22,6.1,7,54.9,Medium,94.4,65.8,111.2,Research Scientist
A0114,Ryntriiona,Gravitar,Floating Islands,2025-03-30,8.3,6,41.0,Medium,77.0,53.0,41.4,Explorer
A0115,Zorara,Nebulon,Northern Crater,2024-06-08,7.3,11,74.5,Medium,115.4,100.0,84.4,Explorer
A0116,Xanzenuun,Gravitar,Northern Crater,2025-06-06,6.4,6,50.2,Low,69.2,75.2,29.0,Explorer
A0117,Xanthalos,Gravitar,Floating Islands,2025-10-11,4.2,5,57.9,Low,50.8,26.3,42.9,Crystal Miner
A0118,Korvaris,Luminar,Crystal Forest,2025-08-12,6.6,9,93.0,High,183.4,77.5,76.6,Farmer
A0119,Xanaris,Gravitar,Ice Plains,2024-03-17,7.4,3,46.6,Medium,120.5,44.9,43.0,Research Scientist
A0120,Thalnoror,Nebulon,Northern Crater,2025-05-23,5.3,8,48.0,Medium,78.9,93.5,80.5,Crystal Miner
A0121,Rynarae,Gravitar,Lava Basin,2025-03-16,2.6,6,37.8,Low,58.5,50.4,11.5,Farmer
A0122,Lummonnax,Gravitar,Lava Basin,2024-09-10,4.0,5,32.6,Low,58.4,43.6,11.6,Farmer
A0123,Zenxeleen,Crystalian,Crystal Forest,2024-11-15,8.4,4,85.0,Medium,158.2,61.4,60.9,Farmer
A0124,Eldeth,Luminar,Floating Islands,2024-09-19,4.9,6,64.1,Medium,105.8,48.9,114.3,Merchant
A0125,Myrlyis,Luminar,Floating Islands,2025-08-19,1.0,11,63.7,High,107.1,52.3,124.1,Explorer
A0126,Xylari,Crystalian,Crystal Forest,2025-10-19,2.1,4,94.1,Medium,155.7,49.3,37.5,Explorer
A0127,Lumzuith,Gravitar,Lava Basin,2025-07-07,4.2,2,45.6,Low,65.8,26.0,0.0,Crystal Miner
A0128,Varlor,Gravitar,Ice Plains,2025-01-08,7.1,4,43.7,Low,56.0,52.6,6.3,Planetary Guardian
A0129,Kryaris,Luminar,Crystal Forest,2025-09-28,4.5,8,84.0,Medium,135.6,58.3,105.7,Planetary Guardian
A0130,Torek,Nebulon,Floating Islands,2024-06-15,7.1,16,54.5,High,123.5,83.9,121.4,Research Scientist
A0131,Korzeneron,Crystalian,Ice Plains,2025-04-03,3.9,6,83.1,Medium,141.8,45.1,54.1,Merchant
A0132,Myralon,Luminar,Ice Plains,2024-10-06,1.1,3,54.3,Medium,100.8,39.5,81.2,Planetary Guardian
A0133,Ophthalion,Luminar,Floating Islands,2025-11-30,4.0,10,77.0,High,149.5,58.9,123.0,Crystal Miner
A0134,Sylvoalis,Crystalian,Floating Islands,2024-10-28,5.7,5,60.2,Medium,110.0,25.9,53.2,Research Scientist
A0135,Quixzornax,Aquari,Floating Islands,2025-06-14,5.5,3,61.2,Low,81.4,63.2,174.0,Explorer
A0136,Jaxlor,Crystalian,Crystal Forest,2025-08-02,2.5,3,86.7,Medium,151.0,40.7,56.4,Crystal Miner
A0137,Astrora,Nebulon,Ice Plains,2024-08-05,4.3,13,57.8,Medium,91.5,97.0,86.3,Farmer
A0138,Vexsoleth,Nebulon,Floating Islands,2024-04-11,10.4,11,68.6,Medium,117.1,94.1,134.1,Planetary Guardian
A0139,Jaxmonon,Crystalian,Crystal Forest,2025-07-07,2.5,6,77.5,Medium,104.1,53.3,46.3,Planetary Guardian
A0140,Zyeron,Aquari,Lava Basin,2024-10-14,6.3,8,43.9,Medium,75.9,84.9,133.4,Explorer
A0141,Fynmonos,Aquari,Crystal Forest,2024-06-15,1.0,3,66.0,High,145.9,33.6,117.0,Merchant
A0142,Talsolul,Luminar,Crystal Forest,2025-09-12,6.7,9,93.2,Medium,135.0,82.1,63.5,Research Scientist
A0143,Cryphiis,Crystalian,Crystal Forest,2024-02-05,3.2,4,93.0,Medium,145.4,47.4,52.9,Explorer
A0144,Korexus,Crystalian,Crystal Forest,2024-12-18,5.8,9,79.2,Medium,94.8,54.9,12.9,Explorer
A0145,Xanlyith,Luminar,Crystal Forest,2025-11-06,2.4,7,75.6,High,130.3,72.9,92.6,Research Scientist
A0146,Celexus,Luminar,Ice Plains,2024-03-13,5.6,4,71.8,High,128.9,52.1,104.3,Farmer
A0147,Velnoron,Nebulon,Ice Plains,2025-10-09,3.2,7,52.2,Low,74.6,79.2,74.9,Merchant
A0148,Zymonon,Nebulon,Northern Crater,2024-12-18,3.6,13,56.6,Medium,104.2,88.5,114.2,Explorer
A0149,Cryveketh,Luminar,Lava Basin,2024-03-10,5.9,5,47.2,Low,65.2,43.8,50.5,Farmer
A0150,Xylvekeon,Luminar,Floating Islands,2025-02-28,4.1,6,54.8,High,116.0,52.9,128.8,Farmer
A0151,Nebmonius,Aquari,Crystal Forest,2025-12-08,5.8,7,91.8,High,167.8,78.4,120.3,Merchant
A0152,Kryvekiona,Luminar,Floating Islands,2025-07-14,4.6,8,81.7,Medium,145.1,55.1,109.8,Merchant
A0153,Talax,Luminar,Floating Islands,2025-10-03,5.1,8,55.1,High,125.3,58.9,112.7,Explorer
A0154,Lumarae,Crystalian,Ice Plains,2025-05-31,5.9,3,84.0,Medium,132.6,60.4,27.3,Explorer
A0155,Korvmirorin,Aquari,Ice Plains,2025-03-03,4.3,8,55.1,High,141.5,59.6,103.5,Explorer
A0156,Sylaris,Luminar,Crystal Forest,2025-06-22,3.0,5,85.3,Low,148.7,51.1,88.4,Merchant
A0157,Xylzorek,Nebulon,Floating Islands,2024-06-08,3.9,6,74.1,High,130.1,79.6,101.0,Crystal Miner
A0158,Vorxelyx,Gravitar,Lava Basin,2024-05-28,7.4,2,38.5,Low,61.7,38.8,14.8,Farmer
A0159,Velul,Luminar,Floating Islands,2024-08-17,5.2,6,61.7,High,177.7,56.5,139.7,Farmer
A0160,Vexari,Nebulon,Ice Plains,2025-12-12,3.3,9,63.0,Medium,112.4,85.2,78.7,Crystal Miner
A0161,Sylzuis,Crystalian,Crystal Forest,2025-07-15,5.8,5,78.9,High,157.2,47.6,33.8,Merchant
A0162,Vortriara,Nebulon,Northern Crater,2024-03-07,5.9,12,71.5,Medium,119.3,100.0,84.3,Crystal Miner
A0163,Zephraith,Nebulon,Ice Plains,2025-01-15,6.0,11,56.4,High,131.3,84.5,85.5,Research Scientist
A0164,Torzulor,Nebulon,Floating Islands,2024-02-27,3.0,10,54.2,Low,87.2,74.2,116.7,Merchant
A0165,Soleon,Luminar,Crystal Forest,2024-09-15,3.6,3,74.0,Medium,104.9,25.9,117.9,Crystal Miner
A0166,Noxtriorax,Gravitar,Lava Basin,2024-12-07,3.6,4,26.2,Low,36.3,34.2,24.7,Merchant
A0167,Vexyxar,Crystalian,Crystal Forest,2024-05-09,4.3,1,84.6,Low,84.4,28.4,65.8,Merchant
A0168,Xantriarae,Luminar,Crystal Forest,2025-12-27,6.1,5,77.4,Medium,125.2,48.2,52.6,Explorer
A0169,Lyrzuara,Luminar,Crystal Forest,2024-06-20,5.6,4,69.4,High,128.6,54.3,91.5,Crystal Miner
A0170,Solxeliona,Nebulon,Floating Islands,2025-09-05,5.8,11,59.5,High,133.4,72.3,105.1,Research Scientist
A0171,Varyxar,Nebulon,Floating Islands,2024-07-27,7.7,11,64.7,Medium,85.7,73.7,108.1,Explorer
A0172,Praxexus,Luminar,Ice Plains,2024-12-19,6.4,8,57.9,High,118.4,54.3,77.9,Farmer
A0173,Syllyuun,Nebulon,Crystal Forest,2025-04-15,4.7,14,81.6,Medium,148.7,100.0,75.9,Explorer
A0174,Zylor,Luminar,Floating Islands,2024-04-25,2.6,4,56.9,Medium,89.5,45.1,102.9,Research Scientist
A0175,Zordraax,Nebulon,Lava Basin,2024-09-20,3.6,15,60.0,Medium,75.4,89.5,66.1,Explorer
A0176,Noxphialon,Luminar,Northern Crater,2025-10-23,4.5,4,66.2,High,141.5,57.7,88.4,Explorer
A0177,Cryraeth,Nebulon,Crystal Forest,2025-03-17,6.7,11,90.5,High,162.9,84.8,62.5,Merchant
A0178,Noxvoix,Crystalian,Crystal Forest,2025-07-01,4.9,6,100.0,Medium,157.2,57.4,46.6,Crystal Miner
A0179,Praxara,Aquari,Northern Crater,2025-03-28,3.7,10,60.3,Medium,93.5,63.8,131.2,Merchant
A0180,Lumnoryxis,Luminar,Ice Plains,2025-04-21,3.5,5,55.7,Low,107.6,38.3,105.8,Explorer
A0181,Graxek,Crystalian,Northern Crater,2024-10-13,4.9,1,72.5,Low,78.1,31.7,35.5,Farmer
A0182,Vyrlyorin,Luminar,Crystal Forest,2024-10-29,6.8,9,86.0,Low,162.9,72.9,88.8,Research Scientist
A0183,Graxvoax,Aquari,Floating Islands,2024-11-06,8.2,3,78.3,High,148.8,59.0,173.3,Explorer
A0184,Ophvekith,Gravitar,Lava Basin,2024-07-26,4.6,3,33.5,Medium,69.7,47.9,15.4,Farmer
A0185,Zenion,Luminar,Northern Crater,2025-09-09,4.9,4,68.8,High,132.7,50.4,106.4,Crystal Miner
A0186,Kelraalis,Nebulon,Ice Plains,2025-03-21,2.6,10,53.6,Medium,85.8,64.1,86.6,Farmer
A0187,Kryara,Gravitar,Lava Basin,2025-10-31,8.9,2,46.2,Low,52.9,64.9,3.9,Explorer
A0188,Varorix,Nebulon,Floating Islands,2025-09-24,2.2,12,75.1,Low,114.2,89.2,100.7,Crystal Miner
A0189,Myror,Nebulon,Northern Crater,2024-02-24,7.3,11,57.6,Medium,79.5,97.7,88.6,Research Scientist
A0190,Zyzuul,Luminar,Crystal Forest,2024-01-12,4.3,5,63.3,Medium,114.1,44.8,87.8,Merchant
A0191,Velvoith,Luminar,Crystal Forest,2025-10-18,3.8,8,87.4,High,134.6,67.7,106.8,Crystal Miner
A0192,Vexmonalis,Gravitar,Lava Basin,2025-02-03,2.8,5,31.7,Medium,68.5,29.7,15.5,Explorer
A0193,Zorlyexus,Aquari,Ice Plains,2025-10-09,9.8,1,58.6,Low,94.8,58.7,110.6,Research Scientist
A0194,Sylix,Nebulon,Floating Islands,2025-05-29,5.4,13,67.9,Low,75.9,74.0,115.1,Explorer
A0195,Korvthalyxis,Crystalian,Crystal Forest,2025-10-17,5.0,5,93.0,Low,140.4,56.8,26.5,Crystal Miner
A0196,Velveketh,Crystalian,Lava Basin,2025-06-25,6.8,8,64.0,Medium,110.4,51.8,44.2,Farmer
A0197,Velexus,Nebulon,Floating Islands,2024-08-24,3.7,11,54.2,High,144.9,88.2,89.0,Farmer
A0198,Drakis,Gravitar,Lava Basin,2024-10-05,5.0,2,11.0,Medium,22.6,49.6,28.3,Farmer
A0199,Tortriith,Gravitar,Lava Basin,2024-12-13,5.1,4,47.0,Medium,128.0,50.4,14.8,Merchant
A0200,Korrynionis,Gravitar,Lava Basin,2025-09-18,4.0,6,37.5,Low,16.6,58.2,7.5,Crystal Miner
A0201,Korvtrior,Nebulon,Ice Plains,2024-04-13,7.4,9,70.1,Medium,113.2,98.0,81.5,Merchant
A0202,Praxiona,Luminar,Crystal Forest,2025-09-21,4.6,5,84.0,Medium,112.1,44.0,97.7,Crystal Miner
A0203,Velith,Luminar,Crystal Forest,2025-05-31,1.9,6,74.6,High,177.2,52.8,110.0,Crystal Miner
A0204,Rynmirorax,Gravitar,Floating Islands,2024-09-04,4.4,2,60.7,Medium,101.1,17.6,79.8,Research Scientist
A0205,Lumshauron,Nebulon,Crystal Forest,2024-12-29,5.5,9,86.5,Low,118.5,76.1,75.3,Planetary Guardian
A0206,Xanex,Luminar,Northern Crater,2024-11-16,3.2,6,62.8,High,139.6,63.3,86.9,Merchant
A0207,Draksolaris,Luminar,Crystal Forest,2025-09-24,3.4,8,91.9,High,173.6,51.9,81.9,Explorer
A0208,Zortriara,Nebulon,Northern Crater,2024-10-12,3.9,12,54.4,Medium,87.3,70.1,78.9,Planetary Guardian
A0209,Kelquayth,Luminar,Crystal Forest,2024-05-28,7.4,6,81.6,High,140.4,77.9,106.2,Research Scientist
A0210,Varphiara,Luminar,Floating Islands,2024-03-24,4.0,4,70.7,High,146.5,50.6,123.2,Farmer
A0211,Myrryneth,Nebulon,Northern Crater,2025-02-09,7.9,13,67.8,Medium,120.6,100.0,74.4,Planetary Guardian
A0212,Praxzuarae,Nebulon,Ice Plains,2025-03-31,3.8,12,61.2,Low,96.1,78.8,97.7,Planetary Guardian
A0213,Fynthalex,Nebulon,Ice Plains,2024-06-09,5.7,10,51.7,Low,101.1,89.2,68.4,Crystal Miner
A0214,Zephshaarae,Luminar,Floating Islands,2025-04-04,4.1,8,75.9,Medium,93.7,59.8,120.5,Merchant
A0215,Zyyxar,Nebulon,Floating Islands,2025-07-03,6.5,12,58.8,Low,81.3,85.8,121.6,Explorer
A0216,Zyquaorin,Luminar,Northern Crater,2025-05-14,2.8,4,59.3,High,145.9,40.9,99.2,Research Scientist
A0217,Cryix,Crystalian,Northern Crater,2025-05-23,6.5,5,69.5,High,140.4,38.0,29.2,Crystal Miner
A0218,Xankayxar,Nebulon,Northern Crater,2025-10-15,5.2,10,79.4,Low,76.1,81.9,95.6,Explorer
A0219,Zephxeletha,Nebulon,Crystal Forest,2025-04-25,3.7,16,67.6,High,120.3,100.0,58.8,Explorer
A0220,Lumarae,Gravitar,Ice Plains,2025-10-24,4.7,5,57.9,Low,86.0,36.9,20.7,Research Scientist
A0221,Veluron,Nebulon,Northern Crater,2024-04-23,8.1,11,48.6,Medium,92.4,100.0,79.0,Farmer
A0222,Rynvekionis,Nebulon,Floating Islands,2025-07-31,5.3,12,64.9,Low,100.9,77.2,113.5,Crystal Miner
A0223,Zoralon,Luminar,Crystal Forest,2024-12-26,3.6,9,83.0,Medium,124.5,56.6,57.1,Planetary Guardian
A0224,Zephith,Crystalian,Ice Plains,2024-12-06,2.6,5,86.2,Medium,144.6,38.6,35.0,Farmer
